                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2281,                 2.1488,                 1.4719,                 0.8636,                0.26658,                0.33584,                 0.2106,                 1.1618,                 1.7542,                 1.5767,               0.070074,              0.0033251,              0.0033251
                      1,                  1.239,                 1.6355,                 1.4916,                0.48714,                0.38483,                  0.346,                0.19435,                 1.3344,                 1.8975,                 1.7603,               0.039928,              0.0065119,              0.0065119
                      2,                 1.3588,                 1.6833,                 1.5754,                0.28885,                0.30368,                0.29771,                 0.1642,                 1.5598,                 1.6898,                 1.9692,              0.0096346,              0.0095521,              0.0095521
                      3,                 1.4397,                 1.7299,                 1.6426,                0.36957,                  0.348,                0.32546,                0.17794,                 1.6107,                  1.715,                 2.0139,                0.00934,                0.00934,                0.00934
                      4,                 1.4129,                 1.6637,                  1.619,                0.60453,                0.33733,                0.38073,                0.22637,                  1.497,                 1.5999,                 1.8457,                0.00934,                0.00934,                0.00934
                      5,                 1.3552,                 1.5687,                 1.5924,                0.64118,                0.35867,                0.39662,                0.24893,                 1.3574,                 1.5496,                 1.7586,                0.00912,                0.00912,                0.00912
                      6,                  1.321,                 1.4975,                 1.5507,                0.61955,                0.36054,                0.37508,                0.22184,                 1.3481,                 1.5439,                 1.7753,                 0.0089,                 0.0089,                 0.0089
                      7,                 1.2978,                 1.4617,                 1.5385,                0.48909,                0.36267,                0.37373,                0.23608,                 1.3644,                 1.5159,                 1.7285,                0.00868,                0.00868,                0.00868
                      8,                 1.2794,                 1.4158,                 1.5205,                0.73545,                0.36067,                0.42619,                0.27904,                 1.2823,                 1.3733,                 1.6934,                0.00846,                0.00846,                0.00846
                      9,                 1.2566,                 1.3958,                 1.5033,                0.58706,                  0.394,                0.42696,                0.27538,                 1.2842,                  1.325,                 1.7053,                0.00824,                0.00824,                0.00824
                     10,                  1.223,                  1.345,                 1.4922,                0.66959,                    0.4,                0.44699,                0.29262,                 1.1998,                 1.2563,                 1.5945,                0.00802,                0.00802,                0.00802
                     11,                 1.2147,                 1.3089,                 1.4736,                0.75991,                 0.3519,                 0.4383,                0.29017,                 1.1842,                 1.3198,                 1.5992,                 0.0078,                 0.0078,                 0.0078
                     12,                 1.2033,                 1.2993,                 1.4661,                0.65472,                0.38067,                0.44008,                 0.2985,                 1.1601,                  1.171,                 1.5608,                0.00758,                0.00758,                0.00758
                     13,                 1.1822,                 1.2551,                 1.4547,                0.82144,                0.38067,                0.47752,                 0.3095,                 1.1792,                 1.2196,                 1.5809,                0.00736,                0.00736,                0.00736
                     14,                 1.1619,                 1.2269,                 1.4366,                0.51107,                0.42346,                0.46058,                0.30973,                 1.1233,                 1.1498,                 1.5412,                0.00714,                0.00714,                0.00714
                     15,                 1.1544,                 1.2239,                 1.4356,                0.61133,                0.39667,                0.45319,                0.30615,                 1.1215,                  1.142,                 1.5178,                0.00692,                0.00692,                0.00692
                     16,                 1.1442,                 1.1925,                 1.4087,                0.50931,                0.48067,                0.48623,                0.32773,                 1.1276,                 1.1726,                 1.5286,                 0.0067,                 0.0067,                 0.0067
                     17,                 1.1304,                 1.1784,                 1.4091,                0.62601,                0.41733,                0.46612,                0.33234,                 1.0908,                  1.144,                 1.4872,                0.00648,                0.00648,                0.00648
                     18,                 1.1233,                 1.1604,                 1.3999,                0.59459,                  0.382,                0.47241,                0.32598,                  1.138,                 1.1686,                 1.5147,                0.00626,                0.00626,                0.00626
                     19,                 1.1088,                 1.1391,                 1.3955,                0.81485,                0.37334,                0.46056,                 0.3385,                 1.0409,                  1.077,                 1.4729,                0.00604,                0.00604,                0.00604
                     20,                 1.0961,                 1.1207,                 1.3953,                 0.6677,                0.43467,                0.46671,                0.33023,                  1.071,                 1.1049,                 1.4641,                0.00582,                0.00582,                0.00582
                     21,                 1.0963,                 1.1112,                 1.3784,                0.89495,                0.38133,                0.47951,                0.34785,                 1.0389,                 1.0397,                  1.429,                 0.0056,                 0.0056,                 0.0056
                     22,                 1.0886,                 1.1031,                 1.3723,                0.81091,                0.39879,                0.49509,                0.34135,                 1.0251,                 1.0794,                 1.4195,                0.00538,                0.00538,                0.00538
                     23,                 1.0865,                 1.0905,                 1.3697,                0.63547,                0.42267,                0.46153,                0.32654,                 1.0343,                 1.0936,                 1.4373,                0.00516,                0.00516,                0.00516
                     24,                 1.0589,                 1.0544,                 1.3529,                 0.6997,                  0.458,                 0.5023,                 0.3532,                 1.0264,                 1.1041,                  1.418,                0.00494,                0.00494,                0.00494
                     25,                 1.0565,                 1.0555,                 1.3551,                 0.7337,                0.43343,                0.49235,                0.35567,                  1.044,                 1.0577,                 1.4447,                0.00472,                0.00472,                0.00472
                     26,                 1.0541,                 1.0468,                 1.3513,                0.68866,                0.41736,                0.50745,                0.35827,                 1.0098,                 1.0079,                   1.42,                 0.0045,                 0.0045,                 0.0045
                     27,                 1.0278,                 1.0055,                 1.3347,                 0.7191,                0.40837,                 0.4905,                 0.3627,                 1.0482,                  1.014,                 1.4306,                0.00428,                0.00428,                0.00428
                     28,                 1.0346,                 1.0033,                  1.334,                0.64076,                0.44733,                0.48971,                0.36413,                0.99188,                 1.0268,                 1.3868,                0.00406,                0.00406,                0.00406
                     29,                 1.0175,                0.98707,                 1.3192,                0.74187,                0.45988,                0.51928,                0.38547,                0.94418,                 1.0095,                 1.3529,                0.00384,                0.00384,                0.00384
                     30,                 1.0177,                0.99148,                 1.3258,                0.67526,                0.47852,                0.49806,                0.37056,                0.99097,                  1.049,                 1.4014,                0.00362,                0.00362,                0.00362
                     31,                 1.0055,                0.96322,                 1.3087,                0.68541,                0.49067,                 0.5307,                0.38938,                 0.9751,                0.96841,                 1.3777,                 0.0034,                 0.0034,                 0.0034
                     32,                 1.0023,                0.94823,                 1.3092,                 0.6431,                  0.458,                0.48967,                0.37068,                0.96058,                 1.0238,                 1.3543,                0.00318,                0.00318,                0.00318
                     33,                 0.9934,                0.94868,                 1.3011,                0.62775,                0.45371,                0.50045,                0.37297,                0.96303,                 0.9966,                  1.352,                0.00296,                0.00296,                0.00296
                     34,                0.98564,                0.92614,                 1.2985,                0.83276,                0.44425,                0.52473,                0.38036,                0.96434,                0.97825,                 1.3569,                0.00274,                0.00274,                0.00274
                     35,                0.97893,                 0.9216,                 1.2953,                0.79914,                0.43869,                0.51207,                0.37615,                0.94132,                0.98234,                 1.3351,                0.00252,                0.00252,                0.00252
                     36,                0.97549,                0.91462,                 1.2878,                0.66934,                0.49267,                0.56195,                0.40863,                0.92459,                0.93483,                 1.3266,                 0.0023,                 0.0023,                 0.0023
                     37,                0.94806,                 0.8814,                 1.2691,                0.80556,                0.43292,                0.53015,                0.39497,                0.96886,                0.93299,                 1.3607,                0.00208,                0.00208,                0.00208
                     38,                0.94878,                0.88378,                 1.2834,                0.65405,                 0.5063,                0.52807,                0.39698,                0.95255,                0.95961,                 1.3438,                0.00186,                0.00186,                0.00186
                     39,                0.94902,                0.86826,                 1.2767,                0.59859,                0.54095,                0.55321,                0.40917,                0.95052,                0.96159,                 1.3282,                0.00164,                0.00164,                0.00164
                     40,                0.94073,                0.87064,                 1.2682,                0.68219,                  0.472,                0.53883,                0.38839,                 0.9578,                0.96183,                 1.3307,                0.00142,                0.00142,                0.00142
