                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2386,                  2.036,                 1.4709,                 0.7164,                0.57739,                0.64761,                 0.4026,                 1.1737,                 1.5621,                 1.5755,               0.070074,              0.0033251,              0.0033251
                      1,                 1.2391,                 1.5044,                 1.4939,                 0.6344,                0.63211,                0.63609,                0.37236,                   1.38,                 1.5226,                 1.7884,                0.04003,              0.0066145,              0.0066145
                      2,                 1.3669,                 1.5606,                  1.588,                0.58304,                0.52937,                  0.471,                0.25499,                 1.5413,                  1.709,                 1.9775,              0.0099424,              0.0098599,              0.0098599
                      3,                 1.4665,                 1.6277,                 1.6804,                0.62786,                0.51071,                0.54531,                0.29679,                 1.6269,                 1.6082,                 2.0183,               0.009802,               0.009802,               0.009802
                      4,                 1.4321,                 1.5726,                 1.6454,                0.56609,                0.58929,                 0.5963,                0.34278,                 1.4938,                 1.4849,                 1.8683,               0.009802,               0.009802,               0.009802
                      5,                 1.3736,                 1.4785,                 1.6023,                0.60991,                0.58571,                0.53081,                0.30741,                 1.4335,                 1.5931,                 1.8738,               0.009736,               0.009736,               0.009736
                      6,                 1.3397,                 1.4195,                  1.563,                0.63854,                0.60357,                0.63203,                0.38921,                 1.3572,                 1.3982,                 1.7591,                0.00967,                0.00967,                0.00967
                      7,                 1.3298,                 1.3949,                  1.569,                  0.697,                0.58571,                0.61226,                0.36593,                 1.3995,                 1.3434,                 1.7923,               0.009604,               0.009604,               0.009604
                      8,                  1.302,                  1.352,                 1.5433,                0.65831,                0.59863,                 0.6067,                0.36779,                 1.3278,                 1.4049,                 1.7294,               0.009538,               0.009538,               0.009538
                      9,                 1.2772,                 1.3368,                 1.5267,                 0.8225,                0.51071,                0.64739,                0.40825,                 1.3105,                 1.3251,                 1.6963,               0.009472,               0.009472,               0.009472
                     10,                 1.2521,                 1.2781,                 1.5186,                0.70606,                0.62143,                0.67832,                0.45426,                 1.2187,                  1.226,                 1.6189,               0.009406,               0.009406,               0.009406
                     11,                 1.2392,                 1.2649,                 1.5009,                0.77285,                0.59541,                0.67557,                0.45098,                  1.206,                  1.481,                 1.6122,                0.00934,                0.00934,                0.00934
                     12,                 1.2309,                  1.249,                 1.4874,                0.75203,                0.63214,                0.67918,                0.43964,                 1.2178,                 1.1203,                 1.6244,               0.009274,               0.009274,               0.009274
                     13,                 1.2101,                 1.2131,                 1.4787,                0.71303,                0.63891,                0.68317,                0.46127,                 1.1854,                  1.221,                 1.5975,               0.009208,               0.009208,               0.009208
                     14,                 1.1974,                 1.1891,                  1.469,                0.80779,                0.59643,                0.69843,                0.47274,                  1.201,                  1.188,                 1.6077,               0.009142,               0.009142,               0.009142
                     15,                 1.1976,                 1.1904,                 1.4687,                0.79813,                 0.6213,                0.71519,                0.47842,                 1.1686,                 1.1367,                 1.5779,               0.009076,               0.009076,               0.009076
                     16,                  1.184,                 1.1642,                 1.4464,                0.74935,                0.60357,                0.68244,                 0.4563,                 1.1674,                 1.1676,                 1.5923,                0.00901,                0.00901,                0.00901
                     17,                 1.1823,                 1.1713,                 1.4514,                0.81765,                0.60357,                0.70569,                0.47213,                 1.1519,                 1.1086,                 1.5859,               0.008944,               0.008944,               0.008944
                     18,                 1.1672,                 1.1516,                 1.4377,                 0.7057,                0.66786,                0.70196,                0.48032,                 1.1433,                 1.0936,                 1.5475,               0.008878,               0.008878,               0.008878
                     19,                 1.1575,                 1.1209,                 1.4386,                0.79226,                  0.625,                0.72979,                0.50965,                 1.0896,                 1.0325,                  1.511,               0.008812,               0.008812,               0.008812
                     20,                 1.1435,                  1.115,                 1.4351,                0.72326,                  0.675,                 0.7276,                0.49303,                  1.088,                 1.0571,                 1.4789,               0.008746,               0.008746,               0.008746
                     21,                 1.1515,                   1.11,                 1.4268,                0.74857,                0.63929,                0.71555,                0.48418,                 1.1397,                 1.0842,                 1.5082,                0.00868,                0.00868,                0.00868
                     22,                 1.1457,                 1.1085,                 1.4248,                0.82347,                0.63308,                0.73491,                0.50921,                  1.083,                 1.0186,                 1.4814,               0.008614,               0.008614,               0.008614
                     23,                 1.1499,                 1.1029,                 1.4232,                 0.8824,                0.60714,                0.75059,                0.52308,                 1.0458,                0.98205,                 1.4772,               0.008548,               0.008548,               0.008548
                     24,                 1.1204,                 1.0709,                 1.4006,                0.83025,                 0.6638,                0.74746,                0.52131,                 1.0811,                 1.0098,                 1.4997,               0.008482,               0.008482,               0.008482
                     25,                  1.121,                 1.0788,                 1.4051,                0.81621,                0.63929,                 0.7301,                0.49741,                 1.0889,                 1.0403,                 1.4908,               0.008416,               0.008416,               0.008416
                     26,                 1.1135,                 1.0711,                  1.402,                 0.7847,                0.66385,                  0.738,                0.51177,                 1.0686,                 1.0109,                  1.489,                0.00835,                0.00835,                0.00835
                     27,                 1.1015,                 1.0327,                  1.395,                0.80211,                  0.608,                 0.7319,                0.51375,                  1.066,                 1.0315,                 1.4749,               0.008284,               0.008284,               0.008284
                     28,                 1.1102,                 1.0433,                 1.3908,                0.79755,                0.66125,                0.74396,                0.51773,                 1.0909,                0.99937,                 1.4932,               0.008218,               0.008218,               0.008218
                     29,                 1.0986,                 1.0353,                 1.3815,                 0.8016,                0.63214,                0.74864,                0.53383,                 1.0417,                0.97622,                 1.4313,               0.008152,               0.008152,               0.008152
                     30,                 1.0948,                 1.0326,                 1.3818,                0.79388,                  0.675,                0.74232,                0.52369,                  1.081,                 1.0134,                 1.4701,               0.008086,               0.008086,               0.008086
                     31,                 1.0873,                 1.0115,                  1.374,                0.80545,                0.65057,                0.73546,                0.51249,                 1.0705,                 1.0216,                 1.4586,                0.00802,                0.00802,                0.00802
                     32,                 1.0855,                 1.0074,                 1.3727,                0.75753,                    0.7,                0.74346,                0.53101,                 1.0089,                 1.0058,                 1.4106,               0.007954,               0.007954,               0.007954
                     33,                  1.081,                 1.0199,                 1.3685,                0.78373,                0.68571,                0.75427,                0.52999,                  1.055,                 0.9974,                 1.4368,               0.007888,               0.007888,               0.007888
                     34,                 1.0801,                 1.0032,                 1.3704,                0.72672,                 0.6743,                0.72451,                0.51693,                 1.0464,                  1.018,                 1.4415,               0.007822,               0.007822,               0.007822
                     35,                 1.0737,                0.99117,                 1.3661,                  0.769,                0.66071,                0.74253,                0.52147,                 1.0377,                0.96382,                 1.4433,               0.007756,               0.007756,               0.007756
                     36,                 1.0756,                0.99988,                 1.3623,                0.81483,                0.68214,                0.76261,                0.52651,                 1.0583,                0.94898,                 1.4401,                0.00769,                0.00769,                0.00769
                     37,                 1.0621,                0.96734,                 1.3487,                0.83134,                0.65134,                0.76829,                0.53805,                 1.0446,                0.93475,                  1.448,               0.007624,               0.007624,               0.007624
                     38,                 1.0548,                0.97358,                   1.36,                0.79866,                0.69418,                0.76181,                0.54419,                 1.0329,                0.92929,                 1.4247,               0.007558,               0.007558,               0.007558
                     39,                 1.0612,                0.96506,                 1.3558,                 0.7479,                 0.6993,                0.75087,                0.53353,                 1.0176,                0.97637,                 1.4086,               0.007492,               0.007492,               0.007492
                     40,                 1.0587,                0.97208,                 1.3518,                0.83192,                0.66429,                0.77107,                0.54974,                 1.0419,                0.92314,                 1.4226,               0.007426,               0.007426,               0.007426
                     41,                 1.0579,                 0.9628,                 1.3501,                 0.7585,                0.70714,                0.77156,                0.54615,                0.99991,                0.89507,                 1.4087,                0.00736,                0.00736,                0.00736
                     42,                 1.0417,                0.95387,                 1.3416,                0.76345,                0.66429,                0.73332,                0.53751,                0.98154,                0.94557,                 1.3764,               0.007294,               0.007294,               0.007294
                     43,                 1.0367,                0.94955,                 1.3492,                0.80547,                0.67143,                0.76698,                0.54359,                 1.0084,                0.91743,                 1.3909,               0.007228,               0.007228,               0.007228
                     44,                 1.0396,                0.95055,                 1.3412,                0.82644,                0.71427,                0.77966,                 0.5567,                 1.0113,                0.87489,                 1.4188,               0.007162,               0.007162,               0.007162
                     45,                 1.0496,                0.94633,                 1.3475,                0.81212,                0.69471,                0.77656,                0.56041,                0.97336,                0.92581,                  1.351,               0.007096,               0.007096,               0.007096
                     46,                 1.0303,                0.93556,                 1.3337,                0.78137,                0.67651,                0.74195,                0.53298,                 1.0075,                0.94702,                 1.3845,                0.00703,                0.00703,                0.00703
