                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8002,                 2.1233,                 1.7375,                0.06748,                0.10775,                0.01792,                0.00493,                 2.7398,                  38.92,                 3.4671,               0.070123,              0.0033196,              0.0033196
                      1,                 1.8961,                 2.0575,                 1.7988,                0.43919,                0.28655,                0.20975,                0.09337,                 2.0777,                 8.1226,                 2.5065,               0.040014,              0.0065432,              0.0065432
                      2,                 1.7661,                 1.8493,                 1.7071,                0.54049,                0.45863,                0.48218,                0.23855,                 1.9145,                 3.0442,                 2.2629,              0.0097939,              0.0096567,              0.0096567
                      3,                 1.7117,                 1.7342,                 1.6618,                0.53984,                0.52279,                 0.5026,                0.25895,                 1.7077,                 2.3876,                 2.0701,               0.009505,               0.009505,               0.009505
                      4,                 1.7009,                 1.6922,                 1.6502,                0.38746,                0.33465,                0.29651,                0.15446,                 1.8135,                 4.5869,                 2.1788,               0.009505,               0.009505,               0.009505
                      5,                 1.6368,                 1.5882,                 1.6083,                0.68158,                0.54814,                 0.6017,                0.33026,                 1.6699,                 2.7954,                 1.9982,                0.00934,                0.00934,                0.00934
                      6,                 1.6292,                 1.5615,                 1.5954,                0.58977,                0.60585,                0.60587,                0.35709,                 1.7281,                 2.5514,                 2.0388,               0.009175,               0.009175,               0.009175
                      7,                 1.6194,                 1.5004,                 1.5809,                 0.8067,                0.60424,                0.69159,                0.39088,                 1.6588,                 1.7398,                 1.9376,                0.00901,                0.00901,                0.00901
                      8,                 1.5867,                 1.4334,                 1.5552,                0.76519,                0.66754,                0.70279,                0.40099,                 1.5662,                 2.0171,                 1.8898,               0.008845,               0.008845,               0.008845
                      9,                 1.5588,                 1.4062,                  1.546,                0.75648,                0.59025,                0.61933,                0.37129,                 1.5651,                 2.3586,                 1.8827,                0.00868,                0.00868,                0.00868
                     10,                 1.5706,                 1.4224,                 1.5618,                0.62879,                 0.5269,                0.56229,                0.33104,                 1.5438,                 2.6847,                 1.8366,               0.008515,               0.008515,               0.008515
                     11,                 1.5518,                 1.3854,                 1.5246,                 0.7975,                0.56944,                0.65426,                0.40731,                 1.5254,                 2.1253,                 1.8793,                0.00835,                0.00835,                0.00835
                     12,                 1.5648,                 1.3655,                 1.5261,                0.74952,                0.63606,                0.66807,                 0.3953,                 1.5238,                 2.2692,                 1.8658,               0.008185,               0.008185,               0.008185
                     13,                 1.5448,                 1.3527,                 1.5188,                0.77154,                0.60954,                 0.6391,                0.37244,                 1.5347,                 2.2679,                 1.8002,                0.00802,                0.00802,                0.00802
                     14,                 1.5131,                 1.3088,                 1.5084,                0.78025,                0.66919,                 0.7242,                0.47945,                 1.4095,                 2.1003,                 1.7513,               0.007855,               0.007855,               0.007855
                     15,                 1.5237,                 1.2941,                 1.5159,                0.72953,                0.64825,                0.70228,                0.44512,                 1.4122,                 2.8836,                  1.705,                0.00769,                0.00769,                0.00769
                     16,                 1.5238,                 1.2935,                 1.5077,                0.77435,                0.64524,                0.71874,                0.46505,                 1.4587,                 2.3174,                 1.7719,               0.007525,               0.007525,               0.007525
                     17,                 1.5111,                 1.2682,                 1.4942,                0.79172,                0.66973,                0.70259,                0.46361,                  1.444,                 1.8011,                 1.7381,                0.00736,                0.00736,                0.00736
                     18,                 1.5104,                 1.2618,                  1.497,                0.79766,                0.64883,                0.72111,                0.44954,                 1.4443,                 1.8201,                 1.7543,               0.007195,               0.007195,               0.007195
                     19,                 1.4797,                 1.2517,                 1.4896,                0.76738,                0.71315,                0.73924,                0.46389,                 1.5067,                 1.8519,                  1.811,                0.00703,                0.00703,                0.00703
                     20,                  1.492,                 1.2347,                 1.4921,                0.81428,                0.69678,                0.73413,                0.47193,                 1.3832,                 2.3767,                 1.7078,               0.006865,               0.006865,               0.006865
                     21,                 1.4815,                 1.2246,                 1.4786,                0.82863,                0.66798,                0.71418,                0.46727,                 1.4347,                 2.2408,                 1.7925,                 0.0067,                 0.0067,                 0.0067
                     22,                  1.466,                 1.2185,                 1.4724,                0.80226,                0.64576,                0.68757,                 0.4623,                 1.3107,                 3.5488,                  1.631,               0.006535,               0.006535,               0.006535
                     23,                 1.4663,                  1.192,                 1.4735,                0.76867,                0.73599,                0.75066,                0.49425,                   1.38,                 1.8425,                 1.7143,                0.00637,                0.00637,                0.00637
                     24,                 1.4789,                 1.1804,                  1.473,                 0.8642,                0.67456,                0.73594,                0.51559,                  1.416,                 2.2043,                 1.7393,               0.006205,               0.006205,               0.006205
                     25,                 1.4466,                 1.1621,                 1.4662,                0.80574,                 0.6943,                0.74098,                0.48099,                 1.2755,                 1.8358,                 1.6392,                0.00604,                0.00604,                0.00604
                     26,                 1.4587,                  1.169,                 1.4754,                0.76118,                0.70587,                0.72405,                0.47636,                 1.4063,                 1.9246,                 1.6949,               0.005875,               0.005875,               0.005875
                     27,                  1.447,                 1.1481,                 1.4572,                0.86924,                0.71701,                0.76826,                0.51292,                 1.4501,                 2.0176,                 1.9009,                0.00571,                0.00571,                0.00571
                     28,                 1.4523,                 1.1343,                   1.45,                0.87636,                0.69024,                0.74929,                0.51084,                 1.4396,                 2.4604,                 1.7588,               0.005545,               0.005545,               0.005545
                     29,                 1.4429,                 1.1204,                 1.4471,                0.90466,                0.72558,                0.78287,                0.50934,                   1.49,                 1.6923,                 1.9167,                0.00538,                0.00538,                0.00538
                     30,                  1.427,                 1.1204,                 1.4419,                0.85709,                0.74225,                0.77525,                0.52541,                 1.3212,                 2.0297,                  1.631,               0.005215,               0.005215,               0.005215
                     31,                 1.4057,                 1.1058,                 1.4325,                0.88114,                0.73263,                0.79219,                0.53353,                 1.3425,                 1.9656,                 1.6115,                0.00505,                0.00505,                0.00505
                     32,                 1.4359,                  1.112,                 1.4359,                 0.8742,                0.59678,                0.69843,                 0.4841,                 1.2429,                 2.5921,                 1.5732,               0.004885,               0.004885,               0.004885
                     33,                 1.4304,                 1.0993,                 1.4509,                 0.8414,                 0.7248,                0.76951,                0.52312,                 1.3033,                 2.2211,                 1.6392,                0.00472,                0.00472,                0.00472
                     34,                 1.4138,                   1.07,                 1.4279,                 0.8247,                0.72865,                0.77556,                0.52847,                 1.2209,                 1.9284,                 1.6066,               0.004555,               0.004555,               0.004555
                     35,                  1.404,                 1.0693,                 1.4293,                0.91959,                0.71652,                0.78284,                0.53122,                 1.2939,                 1.7665,                 1.6663,                0.00439,                0.00439,                0.00439
                     36,                 1.4261,                 1.0738,                 1.4304,                 0.8345,                0.77865,                0.79382,                0.54583,                 1.3026,                 1.6799,                 1.6389,               0.004225,               0.004225,               0.004225
