                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.80932,                 2.1969,                  1.236,                      1,                0.22165,                0.77687,                0.58668,                0.56322,                 2.8451,                 1.1412,                 0.0748,                 0.0028,                 0.0028
                      1,                0.81479,                 1.4857,                 1.2298,                0.80233,                0.71429,                0.82945,                0.58631,                0.75431,                 2.1926,                 1.3782,               0.048662,              0.0056624,              0.0056624
                      2,                0.82104,                 1.3705,                 1.2294,                0.72302,                0.59677,                0.68722,                0.52183,                0.81966,                 2.0225,                 1.3869,               0.022486,              0.0084865,              0.0084865
                      3,                0.91052,                 1.3701,                 1.2923,                0.79231,                0.65409,                0.74751,                  0.511,                 1.0127,                 1.9946,                 1.5674,               0.009802,               0.009802,               0.009802
                      4,                0.95214,                 1.3669,                 1.3276,                0.47505,                0.68571,                0.56718,                0.41393,                 1.0346,                 1.9835,                  1.624,               0.009802,               0.009802,               0.009802
                      5,                 1.0032,                 1.3298,                 1.3636,                0.53685,                 0.5301,                0.60268,                0.39753,                0.97735,                 2.1999,                 1.5666,               0.009736,               0.009736,               0.009736
                      6,                0.97563,                 1.2926,                 1.3464,                0.69979,                0.73277,                0.72205,                0.50193,                0.97624,                 2.1197,                 1.6143,                0.00967,                0.00967,                0.00967
                      7,                 1.0052,                 1.3055,                 1.3483,                0.55122,                0.49145,                0.51814,                0.29344,                 1.4083,                 3.4279,                 2.0467,               0.009604,               0.009604,               0.009604
                      8,                0.99467,                 1.2241,                 1.3491,                0.69812,                0.48571,                0.63691,                0.41989,                 1.2072,                 1.9608,                  1.798,               0.009538,               0.009538,               0.009538
                      9,                0.97244,                 1.2109,                 1.3324,                0.47484,                    0.8,                0.60785,                0.33111,                  1.279,                 2.0804,                 1.8645,               0.009472,               0.009472,               0.009472
                     10,                0.95256,                 1.1705,                 1.2834,                0.59535,                0.71429,                0.66981,                0.47376,                 1.0069,                 1.3861,                 1.6219,               0.009406,               0.009406,               0.009406
                     11,                0.95169,                  1.155,                  1.289,                0.63723,                0.65255,                0.63441,                0.44224,                 1.0931,                 1.6166,                 1.7087,                0.00934,                0.00934,                0.00934
                     12,                0.97523,                 1.1433,                 1.3177,                0.64686,                0.71429,                0.68816,                0.49419,                 1.0505,                 1.5712,                 1.5722,               0.009274,               0.009274,               0.009274
                     13,                0.94784,                 1.1201,                 1.3129,                0.82364,                0.65714,                0.73641,                0.51193,                 1.1399,                 2.0438,                 1.7578,               0.009208,               0.009208,               0.009208
                     14,                 0.9515,                 1.0945,                 1.3024,                0.80802,                0.68571,                0.75155,                0.52407,                0.98637,                 1.8011,                 1.6141,               0.009142,               0.009142,               0.009142
                     15,                 0.9261,                 1.0796,                 1.2912,                0.53887,                0.68571,                0.49032,                0.29592,                 1.1506,                 2.0451,                 1.9476,               0.009076,               0.009076,               0.009076
                     16,                 0.8777,                 1.0186,                 1.2482,                0.81942,                0.51877,                0.72469,                0.46496,                 1.0819,                 1.3239,                 1.6832,                0.00901,                0.00901,                0.00901
                     17,                0.90108,                 1.0244,                 1.2556,                0.82574,                0.57143,                0.72252,                0.53091,                0.89522,                 1.7004,                 1.4928,               0.008944,               0.008944,               0.008944
                     18,                0.85387,                 1.0005,                 1.2332,                0.83772,                0.59025,                0.74679,                0.53324,                0.95904,                 1.3276,                 1.5292,               0.008878,               0.008878,               0.008878
                     19,                0.87574,                 0.9992,                   1.25,                0.80603,                0.68571,                0.76749,                0.58416,                0.88742,                 1.7577,                 1.4893,               0.008812,               0.008812,               0.008812
                     20,                0.86032,                0.96428,                 1.2271,                0.86513,                    0.6,                0.71245,                0.44744,                 1.3321,                  2.084,                 2.0365,               0.008746,               0.008746,               0.008746
                     21,                  0.842,                0.95487,                 1.2451,                0.84709,                0.63327,                0.75891,                0.53531,                0.93151,                 1.5997,                 1.5766,                0.00868,                0.00868,                0.00868
                     22,                 0.8586,                0.95396,                 1.2264,                0.86257,                0.71739,                0.78141,                0.59047,                0.91091,                 1.2773,                 1.4759,               0.008614,               0.008614,               0.008614
                     23,                0.87011,                0.94212,                 1.2645,                0.70819,                0.74286,                0.73985,                0.51444,                0.94396,                  1.235,                 1.5576,               0.008548,               0.008548,               0.008548
                     24,                0.83882,                0.91216,                 1.2431,                0.55816,                0.74286,                0.68885,                0.48396,                0.93516,                 1.3576,                 1.5342,               0.008482,               0.008482,               0.008482
                     25,                0.82765,                  0.917,                 1.2407,                0.80906,                0.60547,                0.77077,                0.56586,                0.91808,                 1.1786,                 1.4938,               0.008416,               0.008416,               0.008416
                     26,                0.82699,                0.90034,                 1.2154,                0.80391,                0.62857,                0.75984,                0.58348,                0.88785,                 1.1701,                 1.4378,                0.00835,                0.00835,                0.00835
